id,user_id,name,date,amount,recurring
244,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Austin Kade Academy,2022-03-21,10.0,0
1282,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,PetSmart,2024-07-02,20.99,1
1285,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,PetSmart,2025-01-15,21.99,1
1489,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Spotify,2025-01-22,11.99,1
1929,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Albert,2023-11-21,14.99,0
2093,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Amazon Prime Video,2024-02-23,8.55,1
2261,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Cleo AI,2024-07-19,5.99,0
2366,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Dave,2024-05-31,1.0,0
2540,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,IBI,2024-02-09,49.95,1
2541,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,IBI,2024-03-12,49.95,1
2542,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,IBI,2024-05-17,49.95,1
2593,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Liberty Mutual,2023-11-10,69.93,1
2938,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Spectrum,2024-12-09,35.0,0
4168,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Chicago Inferno,2023-04-17,150.0,1
4311,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Hulu,2024-01-16,23.98,0
4313,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Hulu,2024-02-15,23.98,0
4495,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Progressive Insurance,2023-12-11,153.6,1
4564,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Super Health Store,2023-05-10,199.99,0
4565,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Super Health Store,2023-06-12,199.99,0
5734,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,"NETFLIX, INC.          186-65797172 CAUS",2025-02-03,16.77,1
5735,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,NETFLIX.COM            NETFLIX.COM  CAUS,2024-12-27,16.77,1
5736,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,NETFLIX.COM            NETFLIX.COM  CAUS,2025-01-27,16.77,1
5756,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,Netflix.com            866-5797172  CAUS,2025-01-25,16.77,1
5757,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,Netflix.com            866-5797172  CAUS,2025-01-25,16.77,1
6419,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,AT&T,2023-05-03,247.25,1
6442,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Aliberto's Mexican Food,2024-09-04,34.88,0
6938,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Dave,2024-09-27,1.0,1
6943,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Dave,2024-11-27,1.0,1
7508,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Klover App,2024-12-18,5.0,1
7864,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Super,2024-10-07,15.0,0
7977,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,Brigit,2024-09-13,8.99,0
8318,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,Empower,2024-10-25,8.0,1
8321,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,Empower,2024-12-06,8.0,1
8323,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,Empower,2024-12-20,8.0,1
8325,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,Empower,2025-01-17,8.0,1
8470,YaqJKdKnJklNcaRKHBQMAuMVLuhoWDZg,T-Mobile,2023-08-10,74.6,0
8541,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2022-12-02,12.36,1
8555,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2023-10-05,7.55,0
8557,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2023-10-19,12.4,1
8559,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2023-11-03,7.55,0
8793,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Apple,2022-06-12,0.99,1
9064,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2023-10-31,9.99,1
9066,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2023-11-24,9.99,1
9301,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Credit Genie,2023-05-19,2.99,1
9302,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Credit Genie,2023-06-27,2.99,1
11108,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,Amazon,2024-03-02,16.41,0
11694,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,Hily Corp,2022-11-10,32.69,1
11948,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,Pandora G.co,2022-07-07,5.46,1
12820,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2024-07-09,2.99,1
12827,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2024-10-09,2.99,1
13238,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,MICROSOFT*MICROSOFT 365MSBILL.INFO  WAUS,2024-10-10,6.99,1
13239,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,MICROSOFT*MICROSOFT 365MSBILL.INFO  WAUS,2024-11-13,6.99,1
13244,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,MICROSOFT*MICROSOFT 365MSBILL.INFO  WAUS,2025-01-03,6.99,1
13362,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,SPOTIFY                NEW YORK     NYUS,2024-04-30,11.87,1
13365,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,SPOTIFY                NEW YORK     NYUS,2024-06-01,11.87,1
13849,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Orderdekynpeepshillsto,2022-05-22,9.99,0
13850,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Orderdekynpeepshillsto,2022-06-27,9.99,0
13978,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Stash,2022-06-28,9.0,1
13982,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Stash,2023-05-15,9.0,1
13983,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Stash,2023-06-15,9.0,1
13984,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Stash,2023-06-16,9.0,1
14881,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Amazon Prime Video,2023-10-06,3.99,1
14905,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Amazon Prime Video,2024-02-18,9.99,0
14916,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Amazon Prime Video,2024-06-18,9.99,0
14919,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Amazon Prime Video,2024-07-18,9.99,0
14923,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Amazon Prime Video,2024-08-13,9.99,0
14940,trjFYryrzuvqYFMVztuiNrKBfmGDaVIO,Apple,2024-08-06,0.99,0
16243,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Albert,2025-01-13,13.0,0
16254,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Amscot Financial,2023-07-17,153.0,1
16275,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Apple,2024-01-26,4.99,1
16461,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Chipotle Mexican Grill,2023-12-01,8.99,0
16463,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Chipotle Mexican Grill,2024-03-07,8.99,0
16864,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Possible,2024-11-15,91.83,1
16866,twtrzwvWAynCjLtqcJIgOfvmeqldQzNQ,Possible Finance,2024-09-13,91.83,1
1221,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Nintendo,2022-03-04,4.23,1
1222,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Nintendo,2022-04-04,3.99,1
1223,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Nintendo,2022-05-03,3.99,1
1225,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,Nintendo,2025-01-02,24.99,1
1280,LDLzjfSGmrSdBRnxnJRyMZAShTpKHBmt,PetSmart,2022-06-21,2.51,0
2098,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Amazon Prime Video,2024-03-25,8.55,1
2258,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Cleo AI,2024-06-14,5.99,0
2931,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Spectrum,2024-07-19,49.99,1
2934,OjGZBgRbUudbTQJWMvRaPXmaAMwhuJjF,Spectrum,2024-09-24,177.8,1
4167,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Chicago Inferno,2023-03-07,200.0,1
4316,RaEmmYJNOlUbVrLlWPkxGuEHMUOxSBxV,Hulu,2024-04-15,7.99,1
5733,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,"NETFLIX, INC.          186-65797172 CAUS",2025-02-01,16.77,1
5755,XaxiPZZTbljMIXbXJWauboZxOpPJqquZ,Netflix                1 8445052993 CAUS,2025-01-30,16.77,1
6418,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,AT&T,2023-04-14,486.0,1
6440,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Aliberto's Mexican Food,2024-06-24,15.7,0
6465,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Amazon Kids+,2023-04-11,8.72,1
6468,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Amazon Prime,2024-05-14,16.35,1
6480,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,BVD,2023-04-05,22.86,0
6942,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Dave,2024-11-22,31.75,0
7502,YWsMpnYneySuKjYPNTxOeIWHNCwfPRue,Klover App,2024-10-25,5.0,1
8558,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2023-10-20,7.55,0
8561,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,AfterPay,2023-11-17,7.55,0
8791,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Apple,2022-05-12,0.99,1
9060,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2023-10-04,9.99,1
9070,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2023-12-29,9.99,1
9073,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2024-01-26,9.99,1
9076,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2024-02-28,9.99,1
9078,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2024-03-29,9.99,1
9082,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Brigit,2024-06-03,9.99,1
10048,agkwQNciKuUqfIdCHJhPgvIzPBtllmlf,Paywithfour,2023-11-21,10.01,1
11031,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,AT&T,2024-05-01,83.75,1
11396,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,Dave,2024-04-11,1.0,1
11400,enDTgcAidKaKzEPclJTxSpDahXHjUNtn,Dave,2024-05-08,1.0,1
12815,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2024-05-09,2.99,1
12819,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2024-06-09,2.99,1
12822,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2024-08-09,2.99,1
12836,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,APPLE.COM/BILL         866-712-7753 CAUS,2025-01-09,2.99,1
13222,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,MICROSOFT MICROSOFT*ST REDMOND        US,2024-10-12,6.99,1
13223,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,MICROSOFT*MICROSOFT 365MSBILL.INFO  WAUS,2024-06-13,6.99,1
13274,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,Microsoft*Microsoft 365425-6816830  WAUS,2024-06-15,6.99,1
13297,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,Microsoft*Microsoft 365425-6816830  WAUS,2024-09-13,6.99,1
13311,pVCpsJaNliwiclDOlRbUeTZwgaXIDnZr,Microsoft*Microsoft 365425-6816830  WAUS,2024-12-13,6.99,1
13980,qweiaDdVKzOOCmylmXYOIrNvcovnqYyT,Stash,2022-09-15,32.0,0
